keys,en
QUEST_SQ_DIVIDE_01_TITLE,The Bridge That Almost Was
QUEST_SQ_DIVIDE_02_TITLE,The Ferryman's Gossip
QUEST_SQ_DIVIDE_03_TITLE,The Letters That Cross Anyway
QUEST_SQ_GALLOWWOOD_01_TITLE,The World-Tree's Other Visitor
QUEST_SQ_GALLOWWOOD_02_TITLE,The House That Faced the Wrong Way
QUEST_SQ_GALLOWWOOD_03_TITLE,The Reversible Knot
QUEST_SQ_HOLLOWS_01_TITLE,The Groundskeeper's Empty Plot
QUEST_SQ_HOLLOWS_02_TITLE,The Long-Overdue's Last Request
QUEST_SQ_HOLLOWS_03_TITLE,The Headstone Carver's Practice
QUEST_SQ_LONGROAD_01_TITLE,What the Highwayman Left Behind
QUEST_SQ_LONGROAD_02_TITLE,The Toll-Keeper Left Behind
QUEST_SQ_LONGROAD_03_TITLE,The Marching Band's Last Tune
QUEST_SQ_MAW_01_TITLE,The Spring No One's Found
QUEST_SQ_MAW_02_TITLE,The Trophy Hunter's Empty Wall
QUEST_SQ_MAW_03_TITLE,The Thirteenth Goat
QUEST_SQ_MERE_01_TITLE,What the Lake Holds
QUEST_SQ_MERE_02_TITLE,The Last Wisher
QUEST_SQ_MERE_03_TITLE,The Pilgrim Who Wished Wrong
QUEST_SQ_MIRRORMARSH_01_TITLE,The One Truth in the Fog
QUEST_SQ_MIRRORMARSH_02_TITLE,The One Who Didn't Want to Go Home
QUEST_SQ_MIRRORMARSH_03_TITLE,The Fog-Warden's Rope
QUEST_SQ_NOONLANDS_01_TITLE,The Canal That Ran Dry
QUEST_SQ_NOONLANDS_02_TITLE,The Reveller Afraid of the Dark
QUEST_SQ_NOONLANDS_03_TITLE,The Harvest Hand's Wager
QUEST_SQ_PRESTIGE_01_TITLE,The Vanishing Act
QUEST_SQ_PRESTIGE_02_TITLE,The Barker's Bet
QUEST_SQ_PRESTIGE_03_TITLE,The Front-Row Faithful
QUEST_SQ_SPIRE_01_TITLE,The Debris Reader
QUEST_SQ_SPIRE_02_TITLE,The Spotter's Last Watch
QUEST_SQ_SPIRE_03_TITLE,The Bell-Watch's Count
QUEST_SQ_SPREAD_01_TITLE,The Scattered Deck
QUEST_SQ_SPREAD_02_TITLE,Hand to Hand
QUEST_SQ_STILLMARSH_01_TITLE,The Lantern Ledger
QUEST_SQ_STILLMARSH_02_TITLE,The Family That Waited Right
QUEST_SQ_STILLMARSH_03_TITLE,The Candle That Won't Gutter
QUEST_SQ_SWORDS_01_TITLE,A Matter of Form
QUEST_SQ_UNDERVAULT_01_TITLE,Old Nick's Fine Print
QUEST_SQ_UNDERVAULT_02_TITLE,The One Who Walked Back Down
QUEST_SQ_UNDERVAULT_03_TITLE,The Vault-Teller's Ledger
QUEST_SQ_VEIL_01_TITLE,The Book That Isn't Finished
QUEST_SQ_VEIL_02_TITLE,What the Silence Costs
QUEST_SQ_VEIL_03_TITLE,The Keeper's Last Secret
QUEST_SQ_WANDS_01_TITLE,The Trial Piece
QUEST_SQ_WHEELHOUSE_01_TITLE,The Cursed Side's Quiet Pride
QUEST_SQ_WHEELHOUSE_02_TITLE,The Croupier's Tell
QUEST_SQ_WHEELHOUSE_03_TITLE,The Lucky House's Debt
